mouseID,strain,whole_brain,amygdala,anterior_commissure,caudate_putamen,cerebellum,corpus_callosum,cortex,fimbria,fornix,globus_pallidus,hippocampus,hypothalamus,inferior_colliculu,internal_capsule,intrapeduncular_nucleus,midbrain_thalamus,nucleus_accumbens,olfactory_bulb,periaqueductal_gray,septal_nucleus,substantia_nigra,superior_colliculus,ventricles
9047288,1,1,0.017908885,0.001938553,0.047927127,0.114242645,0.029265989,0.301909079,0.007745413,0.000410586,0.003329413,0.054764851,0.018713927,0.011222931,0.003117521,0.000527163,0.082884866,0.007890585,0.060829061,0.006650761,0.008908985,0.0030552,0.019109849,0.002541968
7188633,0,1,0.017800972,0.001891511,0.047716846,0.114176454,0.02870871,0.305825537,0.008003046,0.000434117,0.003268139,0.050912872,0.019373025,0.01142839,0.003033773,0.000488202,0.082131098,0.007771565,0.057992878,0.006411523,0.009021996,0.002972478,0.018316577,0.002618405
7189661,0,1,0.018746497,0.001851393,0.048552551,0.109817034,0.029845705,0.312176264,0.007711341,0.000420147,0.003207149,0.051928979,0.019291697,0.01058222,0.003123272,0.000465898,0.082154417,0.007882908,0.059044032,0.006235107,0.009085398,0.003000507,0.017539432,0.002526221
7189662,0,1,0.017980344,0.0018471,0.04865546,0.109616707,0.030708237,0.3134132,0.00813325,0.00037512,0.003224338,0.053756939,0.018347762,0.010484875,0.003126514,0.00049066,0.082118173,0.007755049,0.059543956,0.00628846,0.008983625,0.002863853,0.018019628,0.002504138
1502140,0,1,0.017662199,0.00180643,0.047171986,0.111403772,0.028196567,0.306455264,0.007602968,0.000414146,0.003339523,0.051638737,0.019806723,0.011840812,0.003240128,0.000527848,0.084045289,0.008031421,0.060516525,0.006999821,0.008386834,0.003015736,0.018746509,0.002652041
1502141,0,1,0.019153168,0.001909229,0.048386668,0.107501237,0.029907704,0.309184007,0.008165017,0.000420807,0.003423524,0.052650283,0.019330469,0.010592455,0.003410588,0.00051136,0.084022823,0.008258614,0.058857373,0.006468094,0.009029458,0.003074247,0.018081745,0.002619198
9046270,1,1,0.018683238,0.002136057,0.052546363,0.107696314,0.029775357,0.316936504,0.007576215,0.000475377,0.003704171,0.05217924,0.018629896,0.011577693,0.00332136,0.000480868,0.08225112,0.008630516,0.059032193,0.006749405,0.009460463,0.002910308,0.017964683,0.002639673
1502142,0,1,0.0177437,0.001869666,0.047019521,0.112805927,0.028408195,0.309996757,0.00690704,0.00039568,0.003228118,0.050123044,0.019105928,0.011156829,0.002963828,0.000497621,0.081847711,0.008016305,0.06115377,0.006568748,0.008090306,0.002957787,0.018611328,0.002437512
1502143,0,1,0.018060228,0.001935618,0.047970547,0.114222602,0.02776324,0.301421709,0.007034079,0.000400264,0.003387143,0.050202208,0.01950118,0.011596337,0.003205891,0.000507505,0.084733695,0.008387426,0.062598319,0.00659832,0.007829321,0.002969508,0.019196828,0.00243406
9046273,0,1,0.018815935,0.002095145,0.053317404,0.120584424,0.028965278,0.297061049,0.007979615,0.000464599,0.004097233,0.052168564,0.018470394,0.012314964,0.003826958,0.000493338,0.087342642,0.008257417,0.059765004,0.007849609,0.008834916,0.003213194,0.018675666,0.002687697
9046271,1,1,0.018684012,0.002109812,0.051463495,0.109471315,0.030457787,0.315804659,0.007773547,0.000448561,0.003654604,0.053613129,0.018624655,0.01135602,0.003304471,0.000471853,0.081960352,0.008279211,0.057112953,0.006702111,0.008989244,0.00288296,0.017884567,0.002656049
9046274,0,1,0.018778041,0.001982941,0.05183384,0.115633579,0.029666429,0.302886846,0.007489579,0.000425486,0.004002187,0.052692799,0.018081724,0.012267226,0.0035934,0.000501726,0.085973685,0.007948465,0.059510749,0.007082971,0.008577982,0.003066262,0.018754806,0.002494832
9046277,0,1,0.019070209,0.001950587,0.052942652,0.114531702,0.030545333,0.307949341,0.007595767,0.00041248,0.003971398,0.054214181,0.017513012,0.01207714,0.003723228,0.000466341,0.085704468,0.008198465,0.05600864,0.006875802,0.008694804,0.00292963,0.019597229,0.002419655
9046278,0,1,0.019932001,0.002040798,0.053345391,0.114875084,0.030626274,0.297712767,0.008301425,0.000468492,0.004030525,0.0552214,0.019037236,0.012598882,0.003849394,0.00048143,0.089051529,0.008224478,0.056327258,0.007497227,0.009333741,0.003222241,0.018876533,0.002738769
7186863,1,1,0.020029766,0.001911021,0.053158487,0.111206747,0.031373139,0.314595014,0.007734151,0.000424913,0.00384238,0.055971632,0.018014151,0.011062276,0.003737059,0.000453967,0.083885176,0.008096598,0.052740111,0.007070269,0.00891374,0.002970762,0.01802432,0.002502994
9046279,0,1,0.01891562,0.001922306,0.0521652,0.117304469,0.030535775,0.304539032,0.007403035,0.00041899,0.003976749,0.053000523,0.018214427,0.012227723,0.003635449,0.00046547,0.086564843,0.008222422,0.054577544,0.00701127,0.008494665,0.003077017,0.019138063,0.002467457
9046280,0,1,0.019498217,0.002066723,0.053386569,0.119328703,0.031399904,0.292605816,0.008534763,0.000462248,0.003998137,0.057663566,0.018959729,0.012405833,0.003926705,0.000461561,0.088946706,0.007817694,0.054665478,0.007949569,0.009799248,0.003078449,0.019300405,0.002758378
9046281,0,1,0.018990363,0.001987691,0.051682729,0.117209144,0.03009805,0.304903614,0.007159816,0.000415421,0.0039857,0.054885732,0.017886472,0.012926872,0.0037436,0.000464941,0.086778207,0.007985155,0.055448338,0.007181825,0.008286404,0.003002171,0.019817077,0.002456071
7186864,1,1,0.019400545,0.001988913,0.051033307,0.11244531,0.031062505,0.312262975,0.007561989,0.000407642,0.003785777,0.056537953,0.018389533,0.011169698,0.003428906,0.000488582,0.082645467,0.008210979,0.053894899,0.006957883,0.008791539,0.003009491,0.018209993,0.002480438
9093919,0,1,0.018368949,0.001761837,0.047489225,0.122763198,0.026138922,0.300285207,0.00647987,0.000387171,0.003625708,0.051489524,0.017271732,0.012493597,0.00305194,0.000453563,0.084949049,0.007632996,0.058987639,0.006499438,0.00721787,0.002956895,0.018453511,0.002170672
9093920,0,1,0.018875407,0.002014935,0.046875772,0.124715171,0.027706752,0.299924092,0.00682128,0.000452943,0.003814879,0.053034683,0.018396721,0.012802771,0.003233915,0.00044529,0.086107174,0.008104966,0.052398058,0.005914698,0.007953985,0.003168514,0.01949603,0.002296024
9093918,0,1,0.018394267,0.001706891,0.045696931,0.126531389,0.02733992,0.297254969,0.006629553,0.000384292,0.003572466,0.053495918,0.016786036,0.013450217,0.00332616,0.000452595,0.085083057,0.007233243,0.05357319,0.006855161,0.00716356,0.003004652,0.020141864,0.002210541
9046994,1,1,0.018091356,0.001887661,0.049139689,0.112479485,0.029204419,0.305608517,0.008077787,0.000418508,0.0034166,0.054492071,0.019124502,0.011310652,0.00335098,0.000496523,0.082954987,0.007977899,0.060046415,0.006740603,0.008996463,0.003051317,0.019080755,0.002567918
9101152,0,1,0.017749473,0.001855346,0.048490731,0.117272395,0.027489674,0.296184464,0.007125982,0.000433642,0.003695412,0.051941674,0.019256305,0.012002267,0.003298877,0.000427093,0.085369909,0.007410469,0.058070863,0.006928806,0.008457466,0.00304786,0.01884158,0.002506536
9101153,0,1,0.018254923,0.001820659,0.048273439,0.116085785,0.026673668,0.298583074,0.006348503,0.000434246,0.003510035,0.052776037,0.01953602,0.011752774,0.00300654,0.000530905,0.085531313,0.007848167,0.059509735,0.006801504,0.007685144,0.003106085,0.018056554,0.002400616
